courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,833,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.บุญธรรม วงศ์ไชย,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,834,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.มานิดา ทองรุน,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,835,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.สืบสกุล คุรุรัตน์,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,836,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.รัฐพล สาครสินธุ์,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,837,,,,,ติดต่อผู้สอน,T13/4,10,Dr.Rodolphe Perrin,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,838,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.อบ นิลผาย,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,839,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.กิตติพงษ์ เยาวาจา,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,840,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,841,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.สุจินต์ วันชาติ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,842,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.รจนา ประไพนพ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,843,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,844,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.ปรณัฐ วิสุวรรณ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,845,,,,,ติดต่อผู้สอน,T13/4,10,อ.พุฒิพงษ์ ขุนทรง,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,846,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.สถาพร เชื้อเพ็ง,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,847,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.พงศกร บำรุงไทย,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,848,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.ศักดิ์ดา ธงชาย,,-,,,,,,
