รหัสวิชา,รหัสวิชา-พ.ศ.หลักสูตร,ชื่อวิชา,บรรยาย,,,,,,,,,,,ปฎิบัติ,,,,,,,,,,อาจารย์,,วิชาพื้นฐาน,จำนวนชั่วโมงที่จัดสอบ,การจัดสอบกลางภาค,,การจัดสอบปลายภาค,,หมายเหตุ
,,,หน่วยกิต,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,,CODE-อาจารย์-1,,,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,
3604445,03604445-60,Gas Turbines,3(3-0-6),3,3,800,W,16.3,-,19.3,,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สืบสกุล คุรุรัตน์,,03604341 หรือ 03604202,,,,,,
3604451,03604451-60,Air Conditioning,3(3-0-6),3,3,800,W,9,-,12,,T13/4,80,,,,,,,,,,,ผศ.ดร.รจนา ประไพนพ,,3604352,,,,,,
3604453,03604453-60,Computational Fluid Dynamics,3(3-0-6),3,3,800,Tu,16.3,-,19.3,Lab Com 1,T13/4,50,,,,,,,,,,,ผศ.ดร.สืบสกุล คุรุรัตน์,,-,,,,,,
3604461,03604461-60,Machine Design II,3(3-2-6),2,2,800,F,13,-,15,,T13/4,80,1,3,830,F,15,-,18,,T13/4,80,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,3604361,,,,,,
3604462,03604462-60,Principles of Fire Safety,3(3-0-6),3,3,800,M,9,-,12,,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,-,,,,,,
3604465,03604465-60,Plumbing System Design,3(3-0-6),3,3,800,M,13,-,16,150208,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,3604242,,,,,,
3604497,03604497-60,Seminar,1,1,3,800,F,9,-,12,,T13/4,80,,,,,,,,,T13/4,40,Dr.Rodolphe Perrin,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,830,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,831,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.สมภพ จรุงธรรมโชติ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,832,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.สมพล สกุลหลง,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,833,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.บุญธรรม วงศ์ไชย,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,834,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.มานิดา ทองรุน,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,835,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.สืบสกุล คุรุรัตน์,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,836,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.รัฐพล สาครสินธุ์,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,837,,,,,ติดต่อผู้สอน,T13/4,10,Dr.Rodolphe Perrin,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,838,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.อบ นิลผาย,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,839,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.กิตติพงษ์ เยาวาจา,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,840,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,841,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.สุจินต์ วันชาติ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,842,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.รจนา ประไพนพ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,843,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,844,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.ปรณัฐ วิสุวรรณ,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,845,,,,,ติดต่อผู้สอน,T13/4,10,อ.พุฒิพงษ์ ขุนทรง,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,846,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.สถาพร เชื้อเพ็ง,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,847,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.พงศกร บำรุงไทย,,-,,,,,,
3604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,848,,,,,ติดต่อผู้สอน,T13/4,10,อ.ดร.ศักดิ์ดา ธงชาย,,-,,,,,,
